,x,y,goal x,goal y,waypoint,current distance,angular velocity,heading,yaw,goal angle
188,967571.988284058,1935258.3711082963,967572.4458,1935262.825,3,4.48,-0.09696037443044447,-0.367,1.8349779048050643,1.468432629072917
189,967571.9679217067,1935258.4522504848,967572.4458,1935262.825,3,4.4,-0.09801716325257459,-0.371,1.833172814398119,1.4619427728368783
190,967571.9474189503,1935258.5287984128,967572.4458,1935262.825,3,4.33,-0.09986654369130255,-0.378,1.8331317557104698,1.4553074887268336
191,967571.9258414188,1935258.6096085017,967572.4458,1935262.825,3,4.25,-0.10171592413003028,-0.385,1.8331328531401965,1.448068603578982
192,967571.9118615992,1935258.6923169266,967572.4458,1935262.825,3,4.17,-0.09748876884150948,-0.369,1.8117081657404128,1.4423091197883178
193,967571.894217116,1935258.7694824755,967572.4458,1935262.825,3,4.09,-0.0982813604581072,-0.372,1.8079314298327516,1.4356177597386717
194,967571.8759040927,1935258.8464771896,967572.4458,1935262.825,3,4.02,-0.10013074089683505,-0.379,1.8078423801727568,1.4285210628902032
195,967571.8639139341,1935258.9249532784,967572.4458,1935262.825,3,3.94,-0.09696037443044447,-0.367,1.789724990702221,1.4226890939331345
196,967571.8477384582,1935259.0114178192,967572.4458,1935262.825,3,3.86,-0.09696037443044447,-0.367,1.7820529197817323,1.4152392292519598
197,967571.8325682969,1935259.084572339,967572.4458,1935262.825,3,3.79,-0.09854555766363982,-0.373,1.781660963377189,1.4082950225454842
198,967571.8156135348,1935259.1663256472,967572.4458,1935262.825,3,3.71,-0.10065913530790016,-0.381,1.7816721525513932,1.4002255442742193
199,967571.8061194853,1935259.2451694985,967572.4458,1935262.825,3,3.64,-0.09696037443044447,-0.367,1.7614512212678108,1.393972402724101
200,967571.792062699,1935259.3231321105,967572.4458,1935262.825,3,3.56,-0.09854555766363982,-0.373,1.7592765500232384,1.386238271181557
201,967571.7775496881,1935259.4010035426,967572.4458,1935262.825,3,3.49,-0.10092333251343266,-0.382,1.7596956645569015,1.3780523983411876
202,967571.7696902549,1935259.4844959697,967572.4458,1935262.825,3,3.41,-0.09696037443044447,-0.367,1.7384601912001336,1.371096521766391
203,967571.7575503666,1935259.5627942318,967572.4458,1935262.825,3,3.33,-0.0982813604581072,-0.372,1.7344206488501006,1.3628688035311398
