,x,y,goal x,goal y,waypoint,current distance,obstacle distance,obstacle angle,heading,yaw,goal angle
103,967570.478704727,1935246.9261570182,967572.4631,1935248.799,1,2.73,3.5,0,-2.727,-2.799325005080405,0.7564859730569268
104,967570.4999136173,1935246.9336193544,967572.4631,1935248.799,1,2.71,3.5,0,-2.724,-2.799325005080332,0.759857414548513
105,967570.5141137219,1935246.9386053775,967572.4631,1935248.799,1,2.69,3.5,0,-2.722,-2.7993250050829364,0.7621461727533705
106,967570.5354438992,1935246.9461154083,967572.4631,1935248.799,1,2.67,3.5,0,-2.718,-2.7993250050818284,0.7656227481927131
107,967570.5568045819,1935246.9536259277,967572.4631,1935248.799,1,2.65,3.5,0,-2.715,-2.799325005082581,0.7691611275965259
108,967570.5710347091,1935246.9586429491,967572.4631,1935248.799,1,2.64,3.5,0,-2.712,-2.7993250050788,0.7715452476483231
109,967570.5852648319,1935246.9636599633,967572.4631,1935248.799,1,2.63,3.5,0,-2.71,-2.7993250050824936,0.7739542444024761
110,967570.606655775,1935246.9711862202,967572.4631,1935248.799,1,2.61,3.5,0,-2.706,-2.79932500508037,0.7776272991441256
111,967570.6281072393,1935246.9787439518,967572.4631,1935248.799,1,2.58,3.5,0,-2.702,-2.799325005078604,0.7813665274213435
112,967570.6495894534,1935246.9862869147,967572.4631,1935248.799,1,2.56,3.5,0,-2.699,-2.7993250050792944,0.7851782483230616
113,967570.6638805866,1935246.991304904,967572.4631,1935248.799,1,2.55,3.5,0,-2.696,-2.79932500507833,0.7877480020408535
114,967570.6853625538,1935246.998863125,967572.4631,1935248.799,1,2.53,3.5,0,-2.692,-2.79932500507936,0.7916586226069418
115,967570.6996532021,1935247.0039116135,967572.4631,1935248.799,1,2.52,3.5,0,-2.69,-2.799325005077807,0.7942896744171737
116,967570.7139743512,1935247.0089605933,967572.4631,1935248.799,1,2.5,3.5,0,-2.687,-2.7993250050773115,0.7969579338269736
117,967570.742677662,1935247.0190595267,967572.4631,1935248.799,1,2.48,3.5,0,-2.681,-2.799325005078018,0.8023999439843418
118,967570.749807977,1935247.0215682772,967572.4631,1935248.799,1,2.47,3.5,0,-2.68,-2.7993250050772533,0.8037704230910457
119,967570.7713812174,1935247.0291432056,967572.4631,1935248.799,1,2.45,3.5,0,-2.676,-2.799325005081652,0.8079672920290701
